funs,pkgs,in_multiple_pkgs,contents,urls
mutate,dplyr,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
filter,dplyr,TRUE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
if_all,dplyr,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
where,(unknown),FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
if_any,dplyr,FALSE,if_all-if_any-examples.R,https://gist.githubusercontent.com/brshallo/f0cdfd38f31947b5edbe3efd8efab036/raw/081110dfe414260bcfc13eac15912253f42f8437/if_all-if_any-examples.R
library,base,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
data,utils,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
mutate,dplyr,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
as.double,base,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
options,base,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
group_by,dplyr,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
across,dplyr,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
slice_sample,dplyr,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
summarise,dplyr,FALSE,weighted-grouped-bootstrap-simulation.md,https://gist.githubusercontent.com/brshallo/00926e6f669cddaeee568af9a1dc3593/raw/b626320f39bf6097a42483abeb441eb3cd1b64d8/weighted-grouped-bootstrap-simulation.md
