funs,pkgs,relative_paths,urls,absolute_paths
labs,ggplot,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
library,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
seq,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
map,purrr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
unlist,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
set.seed,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
tibble,dplyr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
sample,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
ymd,lubridate,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
days,lubridate,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
